divTime	mrca	species.1	species.2	n	spClade.1	spClade.2	pairClade
861.35	249	Amia_calva	Aspidoscelis_marmoratus	2	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Zootoca_vivipara	1	Amia_calva	307	307-Amia_calva
861.35	249	Amia_calva	Crocodylus_porosus	2	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Gavialis_gangeticus	2	Amia_calva	318	318-Amia_calva
861.35	249	Alligator_mississippiensis	Amia_calva	3	318	Amia_calva	318-Amia_calva
861.35	249	Amia_calva	Dromaius_novaehollandiae	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Melopsittacus_undulatus	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Hirundo_rustica	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Falco_naumanni	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Colaptes_auratus	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Merops_nubicus	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Gymnogyps_californianus	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Apus_apus	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Streptopelia_turtur	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Gallus_gallus	0	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Emydura_subglobosa	11	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Podocnemis_expansa	6	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Rafetus_swinhoei	4	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Carettochelys_insculpta	2	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Dermatemys_mawii	8	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Chelydra_serpentina	10	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Dermochelys_coriacea	9	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Chelonia_mydas	9	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Chelonoidis_abingdonii	10	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Gopherus_evgoodei	9	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Chrysemys_picta_bellii	11	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Malaclemys_terrapin_terrapin	10	Amia_calva	318	318-Amia_calva
861.35	249	Amia_calva	Latimeria_chalumnae	6	Amia_calva	Latimeria_chalumnae	Amia_calva-Latimeria_chalumnae
